Year,Total,Characteristics,Char.SE,Char.CI.99,Structural,Str.SE,Str.CI.99
2003,0.193032082324994,0.112868555163633,0.00152278593863561,"[0.108946118519863,0.116790991807403]",0.0801635271614689,0.00235201643434691,"[0.0741051343074495,0.0862219200154883]"
2004,0.188449307398425,0.120649929578916,0.00124794375212478,"[0.117435439493012,0.12386441966482]",0.0677993778195421,0.00216253038256596,"[0.0622290686903139,0.0733696869487703]"
2005,0.199714761980159,0.115590881398074,0.00132578954938435,"[0.112175873826431,0.119005888969717]",0.0841238805819793,0.00186182234166056,"[0.079328144036328,0.0889196171276306]"
2006,0.244385213841629,0.120383964277326,0.00134708469474972,"[0.116914104046227,0.123853824508425]",0.124001249564205,0.00181330709607606,"[0.119330480009799,0.128672019118611]"
2007,0.267920198273905,0.121055073102477,0.00106055532129144,"[0.11832326362786,0.123786882577094]",0.146865125171444,0.00186026868511094,"[0.142073390579861,0.151656859763027]"
2008,0.280595969193638,0.118395407989708,0.00117330028566129,"[0.115373186732039,0.121417629247377]",0.162200561203981,0.00177469362502987,"[0.157629253359808,0.166771869048154]"
2009,0.296376910533934,0.118287887946807,0.00124319232155213,"[0.115085636735006,0.121490139158608]",0.178089022587212,0.0018717215510904,"[0.173267787367829,0.182910257806595]"
2010,0.299275339603588,0.122668991122837,0.000985007526407808,"[0.1201317798721,0.125206202373574]",0.176606348480636,0.00151812850038943,"[0.17269590860278,0.180516788358492]"
2011,0.298265666209855,0.130981044410773,0.00139083791323092,"[0.127398483357386,0.13456360546416]",0.167284621799151,0.0020244714220752,"[0.162069928985972,0.17249931461233]"
2012,0.320020951411606,0.125804244345493,0.00122278233530012,"[0.122654565774365,0.128953922916621]",0.194216707066139,0.00170730140040085,"[0.189818990088996,0.198614424043282]"
2013,0.310299089270643,0.123672174706605,0.00118240404292627,"[0.120626503724201,0.126717845689009]",0.186626914563939,0.00209751411468923,"[0.181224076242715,0.192029752885163]"
2014,0.333195680260007,0.125157680793694,0.00111956669206851,"[0.122273868100987,0.128041493486401]",0.208037999466412,0.00186621743990084,"[0.203230941897921,0.212845057034903]"
