Year,Total,Characteristics,Char.SE,Char.CI.99,Structural,Str.SE,Str.CI.99
2003,0.357944637720097,0.438397947983598,0.00479785986223068,"[0.426039479956143,0.450756416011053]",-0.0804533102634457,0.00479955924871493,"[-0.0928161556204048,-0.0680904649064866]"
2004,0.367025328186804,0.461270259716177,0.00429805410458161,"[0.450199206005357,0.472341313426997]",-0.0942449315293968,0.00512312000506981,"[-0.107441214164053,-0.0810486488947404]"
2005,0.381943997758441,0.449023875365696,0.00412550890010349,"[0.438397268648758,0.459650482082634]",-0.0670798776072152,0.00441672035510941,"[-0.0784565953234869,-0.0557031598909435]"
2006,0.448751083904636,0.460097875626113,0.00410125431918275,"[0.449533744569456,0.47066200668277]",-0.011346791721816,0.00434732745783672,"[-0.0225447651798346,-0.000148818263797432]"
2007,0.495759916613561,0.475289103047726,0.00415810018115886,"[0.464578546754005,0.485999659341447]",0.0204708135656365,0.00417950434203604,"[0.0097051238071102,0.0312365033241628]"
2008,0.52217539356592,0.485676525295942,0.0043834569255605,"[0.474385488496239,0.496967562095645]",0.036498868270117,0.00420846166841452,"[0.0256585893817526,0.0473391471584814]"
2009,0.541728859767596,0.484726125590328,0.00419619706773742,"[0.473917438219784,0.495534812960872]",0.0570027341774592,0.00431944191582491,"[0.0458765891157,0.0681288792392184]"
2010,0.565075117694974,0.49139154496079,0.00433362122408065,"[0.480228876421322,0.502554213500258]",0.0736835727342708,0.00392281720907658,"[0.0635790652146654,0.0837880802538762]"
2011,0.570835029093245,0.519070433140957,0.00393965040937156,"[0.508922566170759,0.529218300111155]",0.0517645959518872,0.00370449347005511,"[0.0422224531169137,0.0613067387868607]"
2012,0.603541773601064,0.512552577261751,0.00331450238664078,"[0.504014984887559,0.521090169635943]",0.0909891963392983,0.00407289238426008,"[0.0804981207857201,0.101480271892877]"
2013,0.593543215703918,0.511127087144608,0.00369184235688504,"[0.50161753141766,0.520636642871556]",0.0824161285589541,0.00358280072888954,"[0.0731874454527041,0.0916448116652041]"
2014,0.627183677590242,0.503428868645186,0.00335243425744128,"[0.494793570246648,0.512064167043724]",0.123754808945041,0.00437108508031051,"[0.112495639906872,0.13501397798321]"
