Quantiles,Sex,Education,Component,Value,Std Error,Value lower bound,Value upper bound
0.1,Male,Low Education,Sample,2.49641173209557,,,
0.1,Male,Low Education,Counterfactual,2.22287150894825,0.00492990916311376,2.21017290446207,2.23557011343443
0.1,Male,Low Education,Total,0.273540223147324,0.00752978414538996,0.25414478449623,0.292935661798417
0.1,Male,Low Education,Structural,-0.00329571883320856,0.00642109521476063,-0.0198353640482666,0.0132439263818495
0.1,Male,Low Education,Characteristics,0.276835941980532,0.00487187114048103,0.264286833533767,0.289385050427297
0.2,Male,Low Education,Sample,2.63604329760511,,,
0.2,Male,Low Education,Counterfactual,2.37560249796886,0.00518906440414451,2.36223635381866,2.38896864211905
0.2,Male,Low Education,Total,0.260440799636251,0.00777702223872622,0.240408517859389,0.280473081413114
0.2,Male,Low Education,Structural,0.00914426310638605,0.00677744698916638,-0.00831328345155797,0.0266018096643301
0.2,Male,Low Education,Characteristics,0.251296536529865,0.00524129773487216,0.237795848235757,0.264797224823974
0.3,Male,Low Education,Sample,2.79649337137455,,,
0.3,Male,Low Education,Counterfactual,2.51586878957268,0.00559719075423396,2.50145138161038,2.53028619753499
0.3,Male,Low Education,Total,0.280624581801864,0.00841003625239535,0.258961763979035,0.302287399624692
0.3,Male,Low Education,Structural,0.0222317044294105,0.00765438479035181,0.00251531578578327,0.0419480930730377
0.3,Male,Low Education,Characteristics,0.258392877372453,0.00562590581981638,0.243901504302764,0.272884250442142
0.4,Male,Low Education,Sample,2.98130295559915,,,
0.4,Male,Low Education,Counterfactual,2.66056987592203,0.00605637676468752,2.64496968317821,2.67617006866584
0.4,Male,Low Education,Total,0.320733079677121,0.00906448020201115,0.297384525951341,0.3440816334029
0.4,Male,Low Education,Structural,0.0410279075531106,0.00839377762392829,0.019406969181923,0.0626488459242981
0.4,Male,Low Education,Characteristics,0.27970517212401,0.00612271335171442,0.263934107655434,0.295476236592586
0.5,Male,Low Education,Sample,3.17901796946914,,,
0.5,Male,Low Education,Counterfactual,2.80861290355238,0.00658623332421758,2.79164789075585,2.82557791634891
0.5,Male,Low Education,Total,0.370405065916759,0.00986926097735667,0.344983534286912,0.395826597546606
0.5,Male,Low Education,Structural,0.0626516170456499,0.00937009297461186,0.038515856984667,0.0867873771066328
0.5,Male,Low Education,Characteristics,0.307753448871109,0.00658293322832641,0.29079693655828,0.324709961183938
0.6,Male,Low Education,Sample,3.43343431287841,,,
0.6,Male,Low Education,Counterfactual,2.98427230622088,0.00720529739315349,2.96571269005481,3.00283192238695
0.6,Male,Low Education,Total,0.449162006657533,0.0109074386405075,0.421066306580652,0.477257706734413
0.6,Male,Low Education,Structural,0.0915146394990378,0.0106321842223934,0.0641279478182666,0.118901331179809
0.6,Male,Low Education,Characteristics,0.357647367158495,0.00706582693089469,0.339447003096091,0.375847731220898
0.7,Male,Low Education,Sample,3.71890934730312,,,
0.7,Male,Low Education,Counterfactual,3.18877415201728,0.00819405825922842,3.16766765663818,3.20988064739639
0.7,Male,Low Education,Total,0.53013519528584,0.0116086907945743,0.500233189361338,0.560037201210343
0.7,Male,Low Education,Structural,0.115470259236279,0.0118854685670937,0.0848553210147501,0.146085197457809
0.7,Male,Low Education,Characteristics,0.414664936049561,0.0079237101243856,0.394254811318342,0.435075060780781
0.8,Male,Low Education,Sample,4.03797010364464,,,
0.8,Male,Low Education,Counterfactual,3.43665910483102,0.00957218799812438,3.41200278248637,3.46131542717566
0.8,Male,Low Education,Total,0.601310998813624,0.0125123327095015,0.569081365564736,0.633540632062511
0.8,Male,Low Education,Structural,0.132044452363178,0.0135545317283654,0.0971302923413707,0.166958612384985
0.8,Male,Low Education,Characteristics,0.469266546450446,0.00905634919182858,0.445938936818963,0.492594156081929
0.9,Male,Low Education,Sample,4.99806888788388,,,
0.9,Male,Low Education,Counterfactual,4.06193053190734,0.0119422678744219,4.03116928836557,4.09269177544911
0.9,Male,Low Education,Total,0.936138355976544,0.0142242789559637,0.899499041419919,0.972777670533169
0.9,Male,Low Education,Structural,0.149904830514195,0.0164614719523384,0.107502888679813,0.192306772348576
0.9,Male,Low Education,Characteristics,0.786233525462349,0.0107557978098824,0.758528426280607,0.813938624644092
0.1,Male,Medium Education,Sample,2.68287235411033,,,
0.1,Male,Medium Education,Counterfactual,2.36562574078913,0.0049096085611725,2.35297942718831,2.37827205438995
0.1,Male,Medium Education,Total,0.317246613321197,0.0100120619788127,0.291457250687224,0.343035975955171
0.1,Male,Medium Education,Structural,0.0911740457110461,0.0100001930201063,0.0654152554887112,0.116932835933381
0.1,Male,Medium Education,Characteristics,0.226072567610151,0.00469651947519441,0.213975135121257,0.238170000099045
0.2,Male,Medium Education,Sample,2.92900797516218,,,
0.2,Male,Medium Education,Counterfactual,2.55520129138627,0.00536060448499128,2.5413932892691,2.56900929350345
0.2,Male,Medium Education,Total,0.373806683775909,0.0107948679462208,0.346000946592093,0.401612420959726
0.2,Male,Medium Education,Structural,0.132055833091838,0.0107031719450366,0.10448628915489,0.159625377028785
0.2,Male,Medium Education,Characteristics,0.241750850684072,0.00505854732151388,0.228720896259928,0.254780805108216
0.3,Male,Medium Education,Sample,3.17847406297482,,,
0.3,Male,Medium Education,Counterfactual,2.73981742118359,0.00587111112545952,2.72469444110224,2.75494040126495
0.3,Male,Medium Education,Total,0.438656641791229,0.011212645325114,0.409774781392499,0.467538502189958
0.3,Male,Medium Education,Structural,0.159202667465993,0.0112863869557083,0.130130861214288,0.188274473717699
0.3,Male,Medium Education,Characteristics,0.279453974325235,0.00550878363813003,0.265264288003229,0.293643660647241
0.4,Male,Medium Education,Sample,3.43444409263363,,,
0.4,Male,Medium Education,Counterfactual,2.93218431874049,0.00647119271059624,2.91551563092763,2.94885300655336
0.4,Male,Medium Education,Total,0.502259773893138,0.0112935291088011,0.473169570674205,0.53134997711207
0.4,Male,Medium Education,Structural,0.167062291120986,0.0118008013061685,0.136665441311199,0.197459140930773
0.4,Male,Medium Education,Characteristics,0.335197482772152,0.00604522628836927,0.319626011751986,0.350768953792317
0.5,Male,Medium Education,Sample,3.69068109938814,,,
0.5,Male,Medium Education,Counterfactual,3.14085434302821,0.00716263878822468,3.12240460814676,3.15930407790965
0.5,Male,Medium Education,Total,0.54982675635993,0.011214311146801,0.520940605088885,0.578712907630975
0.5,Male,Medium Education,Structural,0.150322704482281,0.0122068901470026,0.11887983913643,0.181765569828133
0.5,Male,Medium Education,Characteristics,0.399504051877648,0.00673451909231889,0.382157080254344,0.416851023500953
0.6,Male,Medium Education,Sample,3.946592859632,,,
0.6,Male,Medium Education,Counterfactual,3.37265984552246,0.0079342095620287,3.35222267603209,3.39309701501283
0.6,Male,Medium Education,Total,0.573933014109546,0.0113203762972742,0.544773657115827,0.603092371103266
0.6,Male,Medium Education,Structural,0.106742331621468,0.0125127796711251,0.0745115470757328,0.138973116167203
0.6,Male,Medium Education,Characteristics,0.467190682488079,0.00765341588163854,0.447476789587907,0.48690457538825
0.7,Male,Medium Education,Sample,4.20859394739212,,,
0.7,Male,Medium Education,Counterfactual,3.6366586369642,0.00879741515411838,3.61399799721474,3.65931927671367
0.7,Male,Medium Education,Total,0.571935310427917,0.0116368004258943,0.541960898891348,0.601909721964486
0.7,Male,Medium Education,Structural,0.0414603218998439,0.0127666538695782,0.0085756007543184,0.0743450430453695
0.7,Male,Medium Education,Characteristics,0.530474988528073,0.00861023683468957,0.508296488178784,0.552653488877363
0.8,Male,Medium Education,Sample,4.49846875141937,,,
0.8,Male,Medium Education,Counterfactual,3.95385347993235,0.0100009883809955,3.92809264099613,3.97961431886857
0.8,Male,Medium Education,Total,0.544615271487018,0.0124794705880248,0.512470285453607,0.576760257520428
0.8,Male,Medium Education,Structural,-0.0359852889852279,0.0135002138821527,-0.0707595355070544,-0.00121104246340137
0.8,Male,Medium Education,Characteristics,0.580600560472246,0.00952143516852831,0.556074968753309,0.605126152191182
0.9,Male,Medium Education,Sample,4.98186775712864,,,
0.9,Male,Medium Education,Counterfactual,4.42820816214859,0.0139390333461545,4.39230359159242,4.46411273270476
0.9,Male,Medium Education,Total,0.553659594980055,0.0144108658217778,0.516539664506809,0.590779525453302
0.9,Male,Medium Education,Structural,-0.0865908128577955,0.0172331507649481,-0.130980467590625,-0.042201158124966
0.9,Male,Medium Education,Characteristics,0.640250407837851,0.0124524457191977,0.608175033253489,0.672325782422212
0.1,Male,High Education,Sample,3.19105521409225,,,
0.1,Male,High Education,Counterfactual,3.06736296440195,0.0143825288507342,3.0303160251291,3.10440990367481
0.1,Male,High Education,Total,0.123692249690297,0.023625366492601,0.0628373383715734,0.184547161009022
0.1,Male,High Education,Structural,-0.114486608522581,0.0231065332597254,-0.174005093996409,-0.0549681230487531
0.1,Male,High Education,Characteristics,0.238178858212879,0.0114460838346141,0.208695700060802,0.267662016364955
0.2,Male,High Education,Sample,3.52383893778232,,,
0.2,Male,High Education,Counterfactual,3.48525517899057,0.0127062118581934,3.45252614614914,3.51798421183201
