Quantiles,Race,Education,Component,Value,Std Error,Value lower bound,Value upper bound
0.1,White,Low Education,Sample,3.43341161407627,,,
0.1,White,Low Education,Counterfactual,3.17915879509154,0.00424640592692996,3.16822077827019,3.19009681191289
0.1,White,Low Education,Total,0.254252818984734,0.00595162406000537,0.238922451327265,0.269583186642202
0.1,White,Low Education,Structural,0.111069203534605,0.00391291686176415,0.100990197619722,0.121148209449488
0.1,White,Low Education,Characteristics,0.143183615450129,0.0040967619640166,0.13263105593355,0.153736174966707
0.2,White,Low Education,Sample,3.49665516091041,,,
0.2,White,Low Education,Counterfactual,3.26691643926069,0.00415218840567853,3.25622111069148,3.27761176782989
0.2,White,Low Education,Total,0.229738721649722,0.00561726052328483,0.215269617388177,0.244207825911268
0.2,White,Low Education,Structural,0.126514548253516,0.0033911661201376,0.117779483188064,0.135249613318969
0.2,White,Low Education,Characteristics,0.103224173396206,0.00408758212792571,0.0926952595704325,0.11375308722198
0.3,White,Low Education,Sample,3.56729213046884,,,
0.3,White,Low Education,Counterfactual,3.34460290145179,0.00402974073381091,3.33422297718394,3.35498282571965
0.3,White,Low Education,Total,0.222689229017053,0.00539292632349357,0.208797971361118,0.236580486672988
0.3,White,Low Education,Structural,0.140793921645637,0.0030340987117777,0.13297860127398,0.148609242017294
0.3,White,Low Education,Characteristics,0.0818953073714166,0.00405060504675395,0.0714616401948847,0.0923289745479485
0.4,White,Low Education,Sample,3.6425172062264,,,
0.4,White,Low Education,Counterfactual,3.41902007444222,0.00392480388424799,3.40891044958649,3.42912969929794
0.4,White,Low Education,Total,0.223497131784185,0.00511981505347934,0.210309362140683,0.236684901427688
0.4,White,Low Education,Structural,0.154373758362738,0.00275158862034777,0.147286135763134,0.161461380962341
0.4,White,Low Education,Characteristics,0.0691233734214478,0.0040234477907949,0.0587596587006192,0.0794870881422764
0.5,White,Low Education,Sample,3.72298043094077,,,
0.5,White,Low Education,Counterfactual,3.49382583096913,0.00392318809500783,3.48372036811067,3.50393129382758
0.5,White,Low Education,Total,0.229154599971642,0.0048101493772384,0.216764476251304,0.241544723691981
0.5,White,Low Education,Structural,0.166952260078142,0.00256410408578211,0.160347565636635,0.173556954519649
0.5,White,Low Education,Characteristics,0.0622023398935001,0.0040432672435373,0.0517875736455174,0.0726171061414829
0.6,White,Low Education,Sample,3.80843657363266,,,
0.6,White,Low Education,Counterfactual,3.57215256894373,0.00397312173155904,3.56191848556102,3.58238665232645
0.6,White,Low Education,Total,0.236284004688927,0.00454559326707547,0.22457533234958,0.247992677028275
0.6,White,Low Education,Structural,0.178016136413143,0.00256512022283891,0.171408824576029,0.184623448250258
0.6,White,Low Education,Characteristics,0.058267868275784,0.00406056921179339,0.0478085351109581,0.0687272014406099
0.7,White,Low Education,Sample,3.90151487422808,,,
0.7,White,Low Education,Counterfactual,3.65798629395082,0.00404989414216502,3.64755445794316,3.66841812995848
0.7,White,Low Education,Total,0.243528580277266,0.00457569912202719,0.231742360394526,0.255314800160007
0.7,White,Low Education,Structural,0.187436822223213,0.00300536986233133,0.179695502463817,0.195178141982609
0.7,White,Low Education,Characteristics,0.0560917580540532,0.00414626345908916,0.0454116911358973,0.0667718249722091
0.8,White,Low Education,Sample,4.00976415250543,,,
0.8,White,Low Education,Counterfactual,3.75727238376689,0.00394001471765507,3.74712357840075,3.76742118913304
0.8,White,Low Education,Total,0.252491768738534,0.00503991954219234,0.239509796294226,0.265473741182842
0.8,White,Low Education,Structural,0.196863343518008,0.00380789753975706,0.18705484945019,0.206671837585826
0.8,White,Low Education,Characteristics,0.0556284252205264,0.00394878739460843,0.0454570229360094,0.0657998275050433
0.9,White,Low Education,Sample,4.18760145620214,,,
0.9,White,Low Education,Counterfactual,3.90008989738045,0.00425428913884011,3.88913157475085,3.91104822001004
0.9,White,Low Education,Total,0.28751155882169,0.00667903316111637,0.270307509485912,0.304715608157469
0.9,White,Low Education,Structural,0.214974345860104,0.00643154794374853,0.198407776199417,0.231540915520791
0.9,White,Low Education,Characteristics,0.0725372129615862,0.00403854428905601,0.0621346122381557,0.0829398136850167
0.1,White,Medium Education,Sample,3.36704566031548,,,
0.1,White,Medium Education,Counterfactual,3.17856131987994,0.00364031484993474,3.16918449021534,3.18793814954455
0.1,White,Medium Education,Total,0.18848434043554,0.00522111608689275,0.175035636621691,0.201933044249389
0.1,White,Medium Education,Structural,0.097729621836101,0.00388887674007659,0.087712539171122,0.10774670450108
0.1,White,Medium Education,Characteristics,0.0907547185994386,0.00374442390346886,0.0811097217839746,0.100399715414903
0.2,White,Medium Education,Sample,3.46052702409497,,,
0.2,White,Medium Education,Counterfactual,3.29394863402688,0.00359692599659259,3.28468356664216,3.3032137014116
0.2,White,Medium Education,Total,0.166578390068089,0.00493666159286798,0.153862392475475,0.179294387660703
0.2,White,Medium Education,Structural,0.119035580199481,0.00351138987135319,0.109990839272665,0.128080321126297
0.2,White,Medium Education,Characteristics,0.0475428098686077,0.00365377763322377,0.0381313023722984,0.056954317364917
0.3,White,Medium Education,Sample,3.55729631576605,,,
0.3,White,Medium Education,Counterfactual,3.39028612995444,0.00351971123562264,3.3812199546137,3.39935230529519
0.3,White,Medium Education,Total,0.167010185811612,0.00501992941620224,0.154079704519611,0.179940667103613
0.3,White,Medium Education,Structural,0.135478241860108,0.00348306741949076,0.126506454734747,0.144450028985469
0.3,White,Medium Education,Characteristics,0.0315319439515043,0.00357130273781807,0.0223328777075881,0.0407310101954205
0.4,White,Medium Education,Sample,3.65323691856591,,,
0.4,White,Medium Education,Counterfactual,3.47768989658709,0.00341591634744451,3.46889107916087,3.48648871401331
0.4,White,Medium Education,Total,0.175547021978825,0.00484475116392606,0.163067769962382,0.188026273995268
0.4,White,Medium Education,Structural,0.149305920097405,0.00345848907324773,0.140397442596529,0.15821439759828
0.4,White,Medium Education,Characteristics,0.0262411018814204,0.0034962925751085,0.0172352490126755,0.0352469547501653
0.5,White,Medium Education,Sample,3.74749278220954,,,
0.5,White,Medium Education,Counterfactual,3.56087063433258,0.00334231121635188,3.55226141115992,3.56947985750524
0.5,White,Medium Education,Total,0.18662214787696,0.0046366887752299,0.174678829058287,0.198565466695634
0.5,White,Medium Education,Structural,0.161735344707528,0.00343175973249341,0.152895717425832,0.170574971989224
0.5,White,Medium Education,Characteristics,0.0248868031694323,0.00343873932439249,0.0160291976503961,0.0337444086884684
0.6,White,Medium Education,Sample,3.84387217237005,,,
0.6,White,Medium Education,Counterfactual,3.6443555391052,0.00334532252514056,3.63573855931513,3.65297251889528
0.6,White,Medium Education,Total,0.199516633264848,0.00463368948581086,0.18758104010375,0.211452226425946
0.6,White,Medium Education,Structural,0.173274853904997,0.0035020207485672,0.164254246239201,0.182295461570792
0.6,White,Medium Education,Characteristics,0.0262417793598515,0.00345269316106037,0.0173482311394293,0.0351353275802737
0.7,White,Medium Education,Sample,3.94753867827319,,,
0.7,White,Medium Education,Counterfactual,3.7321835537106,0.0033354501592234,3.72359200344994,3.74077510397125
0.7,White,Medium Education,Total,0.215355124562594,0.00462152718755996,0.203450859405729,0.227259389719459
0.7,White,Medium Education,Structural,0.185380618036588,0.00363885748315702,0.176007542300034,0.194753693773142
0.7,White,Medium Education,Characteristics,0.0299745065260066,0.00340581719664141,0.0212017027883669,0.0387473102636464
